"ref.date","value","id.num","series.name"
2007-01-01,0.44,433,"id = 433"
2007-02-01,0.44,433,"id = 433"
2007-03-01,0.37,433,"id = 433"
2007-04-01,0.25,433,"id = 433"
2007-05-01,0.28,433,"id = 433"
2007-06-01,0.28,433,"id = 433"
2007-07-01,0.24,433,"id = 433"
2007-08-01,0.47,433,"id = 433"
2007-09-01,0.18,433,"id = 433"
2007-10-01,0.3,433,"id = 433"
2007-11-01,0.38,433,"id = 433"
2007-12-01,0.74,433,"id = 433"
2008-01-01,0.54,433,"id = 433"
2008-02-01,0.49,433,"id = 433"
2008-03-01,0.48,433,"id = 433"
2008-04-01,0.55,433,"id = 433"
2008-05-01,0.79,433,"id = 433"
2008-06-01,0.74,433,"id = 433"
2008-07-01,0.53,433,"id = 433"
2008-08-01,0.28,433,"id = 433"
2008-09-01,0.26,433,"id = 433"
2008-10-01,0.45,433,"id = 433"
2008-11-01,0.36,433,"id = 433"
2008-12-01,0.28,433,"id = 433"
2009-01-01,0.48,433,"id = 433"
2009-02-01,0.55,433,"id = 433"
2009-03-01,0.2,433,"id = 433"
2009-04-01,0.48,433,"id = 433"
2009-05-01,0.47,433,"id = 433"
2009-06-01,0.36,433,"id = 433"
2009-07-01,0.24,433,"id = 433"
2009-08-01,0.15,433,"id = 433"
2009-09-01,0.24,433,"id = 433"
2009-10-01,0.28,433,"id = 433"
2009-11-01,0.41,433,"id = 433"
2009-12-01,0.37,433,"id = 433"
2010-01-01,0.75,433,"id = 433"
2010-02-01,0.78,433,"id = 433"
2010-03-01,0.52,433,"id = 433"
2010-04-01,0.57,433,"id = 433"
2010-05-01,0.43,433,"id = 433"
2010-06-01,0,433,"id = 433"
2010-07-01,0.01,433,"id = 433"
2010-08-01,0.04,433,"id = 433"
2010-09-01,0.45,433,"id = 433"
2010-10-01,0.75,433,"id = 433"
2010-11-01,0.83,433,"id = 433"
2010-12-01,0.63,433,"id = 433"
2011-01-01,0.83,433,"id = 433"
2011-02-01,0.8,433,"id = 433"
2011-03-01,0.79,433,"id = 433"
2011-04-01,0.77,433,"id = 433"
2011-05-01,0.47,433,"id = 433"
2011-06-01,0.15,433,"id = 433"
2011-07-01,0.16,433,"id = 433"
2011-08-01,0.37,433,"id = 433"
2011-09-01,0.53,433,"id = 433"
2011-10-01,0.43,433,"id = 433"
2011-11-01,0.52,433,"id = 433"
2011-12-01,0.5,433,"id = 433"
2012-01-01,0.56,433,"id = 433"
2012-02-01,0.45,433,"id = 433"
2012-03-01,0.21,433,"id = 433"
2012-04-01,0.64,433,"id = 433"
2012-05-01,0.36,433,"id = 433"
2012-06-01,0.08,433,"id = 433"
2012-07-01,0.43,433,"id = 433"
2012-08-01,0.41,433,"id = 433"
2012-09-01,0.57,433,"id = 433"
2012-10-01,0.59,433,"id = 433"
2012-11-01,0.6,433,"id = 433"
2012-12-01,0.79,433,"id = 433"
2013-01-01,0.86,433,"id = 433"
2013-02-01,0.6,433,"id = 433"
2013-03-01,0.47,433,"id = 433"
2013-04-01,0.55,433,"id = 433"
2013-05-01,0.37,433,"id = 433"
2013-06-01,0.26,433,"id = 433"
2013-07-01,0.03,433,"id = 433"
2013-08-01,0.24,433,"id = 433"
2013-09-01,0.35,433,"id = 433"
2013-10-01,0.57,433,"id = 433"
2013-11-01,0.54,433,"id = 433"
2013-12-01,0.92,433,"id = 433"
2014-01-01,0.55,433,"id = 433"
2014-02-01,0.69,433,"id = 433"
2014-03-01,0.92,433,"id = 433"
2014-04-01,0.67,433,"id = 433"
2014-05-01,0.46,433,"id = 433"
2014-06-01,0.4,433,"id = 433"
2014-07-01,0.01,433,"id = 433"
2014-08-01,0.25,433,"id = 433"
2014-09-01,0.57,433,"id = 433"
2014-10-01,0.42,433,"id = 433"
2014-11-01,0.51,433,"id = 433"
2014-12-01,0.78,433,"id = 433"
2015-01-01,1.24,433,"id = 433"
2015-02-01,1.22,433,"id = 433"
2015-03-01,1.32,433,"id = 433"
2015-04-01,0.71,433,"id = 433"
2015-05-01,0.74,433,"id = 433"
2015-06-01,0.79,433,"id = 433"
2015-07-01,0.62,433,"id = 433"
2015-08-01,0.22,433,"id = 433"
2015-09-01,0.54,433,"id = 433"
2015-10-01,0.82,433,"id = 433"
2015-11-01,1.01,433,"id = 433"
2015-12-01,0.96,433,"id = 433"
2016-01-01,1.27,433,"id = 433"
2016-02-01,0.9,433,"id = 433"
2016-03-01,0.43,433,"id = 433"
2016-04-01,0.61,433,"id = 433"
2016-05-01,0.78,433,"id = 433"
2016-06-01,0.35,433,"id = 433"
2016-07-01,0.52,433,"id = 433"
2016-08-01,0.44,433,"id = 433"
2016-09-01,0.08,433,"id = 433"
2016-10-01,0.26,433,"id = 433"
2016-11-01,0.18,433,"id = 433"
2016-12-01,0.3,433,"id = 433"
2017-01-01,0.38,433,"id = 433"
2017-02-01,0.33,433,"id = 433"
2017-03-01,0.25,433,"id = 433"
2017-04-01,0.14,433,"id = 433"
2017-05-01,0.31,433,"id = 433"
2017-06-01,-0.23,433,"id = 433"
2017-07-01,0.24,433,"id = 433"
2017-08-01,0.19,433,"id = 433"
2017-09-01,0.16,433,"id = 433"
2017-10-01,0.42,433,"id = 433"
2017-11-01,0.28,433,"id = 433"
2017-12-01,0.44,433,"id = 433"
2018-01-01,0.29,433,"id = 433"
2018-02-01,0.32,433,"id = 433"
2018-03-01,0.09,433,"id = 433"
2018-04-01,0.22,433,"id = 433"
2018-05-01,0.4,433,"id = 433"
2018-06-01,1.26,433,"id = 433"
2018-07-01,0.33,433,"id = 433"
2018-08-01,-0.09,433,"id = 433"
2018-09-01,0.48,433,"id = 433"
2018-10-01,0.45,433,"id = 433"
2018-11-01,-0.21,433,"id = 433"
2018-12-01,0.15,433,"id = 433"
